question,answer
I have a head and a tail but no body.,coin
Remove my skin and I won’t cry but you surely will.,onion
What would you find in the middle of Toronto?,O
What kind of room has no walls doors or windows?,mushroom
What runs but never walks has a mouth but never talks?,river
What word is always pronounced wrong?,wrong
I am a word of three letters Add two letters and there will be fewer What word am I?,few
I have keys but no locks space but no room You can enter but you can’t go outside.,keyboard
Mary has four daughters and each of her daughters has a brother How many children does Mary have?,five
What has cities but no houses rivers but no water and roads but no traffic?,map
You’ll find me in Mercury Earth Mars Jupiter Saturn and Uranus but never in Neptune or Venus What am I?,R
What kind of tree can you carry in your hand?,palm
People buy me to eat but never eat me.,plate
I can travel around the world while staying in a corner.,stamp
What gets wetter as it dries?,towel
Lucky’s father has four sons Monday Tuesday Wednesday and ___?,lucky
Which number has the same number of letters as its value?,four
What has many teeth but cannot bite?,comb
Born from an egg moving without legs with a strong backbone and a sizzling hiss what creature am I?,snake
What are two things you can never eat for breakfast?,lunch and dinner
